docId,filename,0 â fo faid,1 day water put,2 â tom ll,3 men â king,4 king george man,5 â œ man,6 god â thy,7 â 1 ft,8 â love iâ,9 oâ ye â
54,104184160.txt,4.370604702574659E-5,2.2801748175640762E-5,4.040289666425374E-4,2.969289345575481E-5,3.429765404469693E-5,0.1296106365223294,2.4096902221562198E-5,8.755734919491104E-5,0.28350884415963135,0.5862343377572783
55,104184161.txt,0.001085200646494948,5.932943449126466E-5,0.00202274959626993,7.725997864590489E-5,8.92414214548145E-5,0.22843718149836348,6.269938474822265E-5,2.2782147988274936E-4,0.7609966247755129,0.0069418917841359215
56,104184162.txt,5.3128196332603966E-5,2.7717348885119022E-5,3.727691179606794E-5,0.022274872300652167,9.493967752611258E-4,0.11035142449520191,2.9291712231045637E-5,1.0643296191141039E-4,0.0010612479997359732,0.8651092112979925
57,104184163.txt,3.2378659554869095E-5,1.689217148830719E-5,0.0337676432161803,0.008596527453966713,2.5408659428516486E-5,0.17567932809550207,1.7851657755717693E-5,6.486492817432713E-5,0.042966226363667814,0.7388328787942813
58,104184164.txt,4.135888172703598E-5,2.1577215743406057E-5,2.9019080122179664E-5,2.809828278102133E-5,3.245575186229477E-5,0.0018173472505351679,2.2802815555075177E-5,0.015275277198142811,0.8039046453392217,0.17882741818430933
59,104184165.txt,4.302412321108709E-4,2.3521888858441383E-5,4.1678929070488354E-4,3.063067508560357E-5,3.538086642876289E-5,4.4051858620812256E-4,2.4857947360976294E-5,9.032264634439873E-5,0.7226807632499093,0.27582697361698866
60,104184166.txt,4.4605362641383594E-5,2.3270927376086337E-5,0.002317569990392366,3.0303868013634085E-5,0.8943488101478371,0.0987455595809436,2.4592731104086465E-5,4.704044770466829E-4,8.910024271163866E-4,0.003103880487528761
61,104184167.txt,3.985228986466768E-5,2.079121630884372E-5,0.009219894274371247,2.7074738564719716E-5,0.8705413046446988,0.09298958515383042,2.197217084419789E-5,0.0089313273713742,0.009647549044255958,0.008560649095886969
62,104184168.txt,1.6272897023943115E-4,8.489683356847727E-5,1.141772898199747E-4,0.0056710645232103335,1.276990783685831E-4,0.04607403157172768,8.971902863155568E-5,0.15741041092654331,0.6649512584315428,0.12531401334634787
63,104184169.txt,1.464430129924511E-4,7.640033660259667E-5,0.0313778308712025,9.949004950191534E-5,1.149189217208176E-4,0.0026818308395010096,8.073992514196671E-5,0.12289168818084444,0.6847219873598023,0.15780867050268998
64,104184170.txt,0.009067039604811724,1.0821359101622911E-4,1.4553587012116655E-4,0.0019128413920931067,1.6277139274671653E-4,2.547036454705185E-4,1.143601929850239E-4,4.1553371711934545E-4,0.4949661113414174,0.49285288925221876
65,104184171.txt,1.8395365018034518E-4,9.596989645234325E-5,1.290693918801322E-4,0.0016964152894750552,1.4435482235279789E-4,0.02379750601664427,0.001672862415583245,0.06636905607350228,0.7595378141691845,0.14637299827474495
